==== START logs for container coredns of pod kube-system/coredns-66bc5c9577-2d4h5 ====
maxprocs: Leaving GOMAXPROCS=16: CPU quota undefined
.:53
[INFO] plugin/reload: Running configuration SHA512 = e7e8a6c4578bf29b9f453cb54ade3fb14671793481527b7435e35119b25e84eb3a79242b1f470199f8605ace441674db8f1b6715b77448c20dde63e2dc5d2169
CoreDNS-1.12.1
linux/amd64, go1.24.1, 707c7c1
[INFO] 10.244.0.19:49322 - 59968 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.112252125s
[INFO] 10.244.0.19:47039 - 25880 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000964983s
[INFO] 10.244.0.19:36073 - 23484 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000913747s
[INFO] 10.244.0.19:45816 - 54328 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000986444s
[INFO] 10.244.0.19:44237 - 11825 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 1.836286167s
[INFO] 10.244.0.19:58877 - 27919 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.00052751s
[INFO] 10.244.0.19:39144 - 32219 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000609459s
[INFO] 10.244.0.19:43601 - 29594 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000480597s
[INFO] 10.244.0.19:32840 - 28306 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.162036695s
[INFO] 10.244.0.19:34011 - 56513 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000570798s
[INFO] 10.244.0.19:35129 - 48252 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000479689s
[INFO] 10.244.0.19:55815 - 11848 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000359297s
[INFO] 10.244.0.19:59269 - 8032 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.363419937s
[INFO] 10.244.0.19:50472 - 48639 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000332821s
[INFO] 10.244.0.19:50881 - 51579 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000376891s
[INFO] 10.244.0.19:47818 - 25810 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000285359s
[INFO] 10.244.0.19:55288 - 31209 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.129584031s
[INFO] 10.244.0.19:42514 - 52103 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000518198s
[INFO] 10.244.0.19:38416 - 7401 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000280169s
[INFO] 10.244.0.19:56153 - 29343 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000221582s
[INFO] 10.244.0.19:52420 - 1612 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.176001696s
[INFO] 10.244.0.19:42430 - 30302 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.001382084s
[INFO] 10.244.0.19:38459 - 12668 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.00058772s
[INFO] 10.244.0.19:59608 - 15107 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000437389s
[INFO] 10.244.0.19:53458 - 64637 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.221798476s
[INFO] 10.244.0.19:44753 - 59254 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000434146s
[INFO] 10.244.0.19:51419 - 19377 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000295578s
[INFO] 10.244.0.19:50594 - 40270 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.00016164s
[INFO] 10.244.0.19:42411 - 27791 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.19574023s
[INFO] 10.244.0.19:39265 - 7357 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000218957s
[INFO] 10.244.0.19:44087 - 18817 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000128659s
[INFO] 10.244.0.19:36490 - 42762 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.00009872s
[INFO] 10.244.0.19:55008 - 8392 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.104551008s
[INFO] 10.244.0.19:46244 - 39637 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000361063s
[INFO] 10.244.0.19:58292 - 42350 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000224771s
[INFO] 10.244.0.19:36774 - 62579 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000254595s
[INFO] 10.244.0.19:35490 - 24689 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.18724608s
[INFO] 10.244.0.19:35433 - 50063 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000318453s
[INFO] 10.244.0.19:41277 - 1669 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000292293s
[INFO] 10.244.0.19:37486 - 48028 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000264289s
[INFO] 10.244.0.19:35673 - 5077 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.111662567s
[INFO] 10.244.0.19:45620 - 46215 "TXT IN _grpc_config.localhost.argocd.svc.cluster.local. udp 76 false 1232" NXDOMAIN qr,aa,rd 158 0.000330638s
[INFO] 10.244.0.19:41537 - 42351 "TXT IN _grpc_config.localhost.svc.cluster.local. udp 69 false 1232" NXDOMAIN qr,aa,rd 151 0.000248488s
[INFO] 10.244.0.19:48064 - 5704 "TXT IN _grpc_config.localhost.cluster.local. udp 65 false 1232" NXDOMAIN qr,aa,rd 147 0.000305619s
[INFO] 10.244.0.19:39545 - 37355 "TXT IN _grpc_config.localhost. udp 51 false 1232" NXDOMAIN qr,rd,ra 40 0.18244925s
